nombre ;apellido;email
Jose;Caballero;jose@caballero.es
Andreu;Esplugas;andreu@esplugas.es
Oscar;Sancho;oscar@sancho.es
David;Pav�n;david@pavon.es
Yolanda;Bellver;yolanda@bellver.es
Cristina;Torres;cristina@torres.es
Jose Luis;Martinez Bailen;joseluis@martinez.es
Jorge;Lupon;jorge@lupon.es
Yolanda;Donate;yolanda@donate.es
Jordi;Olive;jordi@olive.es
David;Sanchez;david@sanchez.es
Carlos;Garcia;carlos@garcia.es
Sergi;Coll;sergi@coll.es
Jose Luis ;Guasch;joseluis@guasch.es
Xavier;Roquet;xavier@roquet.es
Teodoro;Illera;teodoro@illera.es
Laura;Dominguez;laura@dominguez.es
Daniel;Pastrana;daniel@pastrana.es
Jorge;Plana;jorge@plana.es
Miquel;Mart�;miquel@marti.es
Raul;Saez;raul@saez.es
Crist�bal;Martinez;cristobal@martinez.es
Victor;Fernandez;victor@fernandez.es
Carles;Prats;carles@prats.es
Angel;Ramirez;angel@ramirez.es
Francesc;Benitez;francesc@benitez.es
Jorge;Lores;jorge@lores.es
Gonzalo;Aguilera;gonzalo@aguilera.es
Josep;Rof;josep@rof.es
Alvaro;Fernandez;alvaro@fernandez.es
Luis;Garcia Olive;luis@garcia.es
Sergi;Garcia Mateu;sergi@garcia.es
Manuel;Anguita;manuel@anguita.es
Montse;Galindo;montse@galindo.es
Laia;Bello;laia@bello.es
Xavier;Conangla;xavier@conangla.es
Ivan;Saenz;ivan@saenz.es
Fernando;Garcia;fernando@garcia.es
Alessio;Beoni;alessio@beoni.es
;;
