"NOMBRE;APELLIDO;USUARIO"
"CANDIDATO;11;candidato@11.es"
"CANDIDATO;12;candidato@12.es"
"CANDIDATO;13;candidato@13.es"
"CANDIDATO;14;candidato@14.es"
"CANDIDATO;15;candidato@15.es"
"CANDIDATO;16;candidato@16.es"
"CANDIDATO;17;candidato@17.es"
"CANDIDATO;18;candidato@18.es"
"CANDIDATO;19;candidato@19.es"
"CANDIDATO;20;candidato@20.es"
"CANDIDATO;21;candidato@21.es"
"CANDIDATO;22;candidato@22.es"
"CANDIDATO;23;candidato@23.es"
"CANDIDATO;24;candidato@24.es"
"CANDIDATO;25;candidato@25.es"
"CANDIDATO;26;candidato@26.es"
"CANDIDATO;27;candidato@27.es"
"CANDIDATO;28;candidato@28.es"
"CANDIDATO;29;candidato@29.es"
"CANDIDATO;30;candidato@30.es"
